Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Bahrain,Middle East and Northern Africa,42,6.218,1.44,0.944,0.657,0.474,0.258,0.171
Trinidad and Tobago,Latin America and Caribbean,43,6.168,1.326,0.986,0.526,0.485,0.012,0.319
Venezuela,Latin America and Caribbean,44,6.084,1.134,1.033,0.619,0.198,0.083,0.043
Slovakia,Central and Eastern Europe,45,6.078,1.28,1.083,0.704,0.234,0.029,0.138
El Salvador,Latin America and Caribbean,46,6.068,0.874,0.81,0.596,0.373,0.106,0.089
Malaysia,Southeastern Asia,47,6.005,1.251,0.88,0.624,0.39,0.091,0.415
Nicaragua,Latin America and Caribbean,48,5.992,0.694,0.895,0.652,0.466,0.163,0.298
Uzbekistan,Central and Eastern Europe,49,5.987,0.736,1.168,0.502,0.608,0.283,0.343
Italy,Western Europe,50,5.977,1.355,1.042,0.851,0.188,0.026,0.167
Ecuador,Latin America and Caribbean,51,5.976,0.973,0.86,0.686,0.403,0.18,0.101
Belize,Latin America and Caribbean,52,5.956,0.876,0.687,0.456,0.512,0.108,0.237
Japan,Eastern Asia,53,5.921,1.38,1.061,0.915,0.468,0.19,0.102
Kazakhstan,Central and Eastern Europe,54,5.919,1.229,0.955,0.574,0.405,0.111,0.15
Moldova,Central and Eastern Europe,55,5.897,0.692,0.831,0.523,0.252,0.019,0.2
Russia,Central and Eastern Europe,56,5.856,1.232,1.053,0.59,0.327,0.036,0.027
Poland,Central and Eastern Europe,57,5.835,1.246,1.047,0.691,0.452,0.055,0.144
South Korea,Eastern Asia,57,5.835,1.359,0.722,0.886,0.252,0.077,0.188
Bolivia,Latin America and Caribbean,59,5.822,0.794,0.838,0.47,0.51,0.077,0.217
Lithuania,Central and Eastern Europe,60,5.813,1.269,1.064,0.647,0.189,0.018,0.02
Belarus,Central and Eastern Europe,61,5.802,1.131,1.05,0.631,0.291,0.175,0.139
North Cyprus,Western Europe,62,5.771,1.311,0.818,0.841,0.436,0.166,0.263
Slovenia,Central and Eastern Europe,63,5.768,1.299,1.056,0.792,0.532,0.036,0.257
Peru,Latin America and Caribbean,64,5.743,0.996,0.813,0.63,0.375,0.053,0.145
Turkmenistan,Central and Eastern Europe,65,5.658,1.08,1.038,0.44,0.374,0.285,0.226
Mauritius,Sub-Saharan Africa,66,5.648,1.144,0.757,0.662,0.461,0.052,0.37
Libya,Middle East and Northern Africa,67,5.615,1.067,0.951,0.523,0.407,0.103,0.171
Latvia,Central and Eastern Europe,68,5.56,1.218,0.95,0.64,0.28,0.089,0.174
Cyprus,Western Europe,69,5.546,1.319,0.707,0.849,0.295,0.052,0.279
Paraguay,Latin America and Caribbean,70,5.538,0.894,1.111,0.583,0.462,0.074,0.253
Romania,Central and Eastern Europe,71,5.528,1.17,0.728,0.676,0.367,0.007,0.129
Estonia,Central and Eastern Europe,72,5.517,1.28,1.052,0.681,0.415,0.185,0.084
Jamaica,Latin America and Caribbean,73,5.51,0.893,0.964,0.595,0.436,0.043,0.222
Croatia,Central and Eastern Europe,74,5.488,1.186,0.608,0.705,0.239,0.04,0.184
Hong Kong,Eastern Asia,75,5.458,1.511,0.87,0.953,0.481,0.316,0.401
Somalia,Sub-Saharan Africa,76,5.44,0,0.336,0.115,0.568,0.312,0.272
Kosovo,Central and Eastern Europe,77,5.401,0.901,0.661,0.54,0.144,0.065,0.28
Turkey,Middle East and Northern Africa,78,5.389,1.165,0.877,0.647,0.239,0.123,0.047
Indonesia,Southeastern Asia,79,5.314,0.951,0.876,0.494,0.392,0.003,0.565
Jordan,Middle East and Northern Africa,80,5.303,0.997,0.862,0.607,0.36,0.133,0.143
Azerbaijan,Central and Eastern Europe,81,5.291,1.124,0.76,0.545,0.353,0.179,0.056
Philippines,Southeastern Asia,82,5.279,0.812,0.879,0.47,0.549,0.118,0.217
China,Eastern Asia,83,5.245,1.028,0.794,0.736,0.44,0.027,0.05
Bhutan,Southern Asia,84,5.196,0.853,0.908,0.498,0.461,0.162,0.485
Kyrgyzstan,Central and Eastern Europe,85,5.185,0.56,0.954,0.554,0.402,0.048,0.384
Serbia,Central and Eastern Europe,86,5.177,1.034,0.813,0.646,0.157,0.043,0.207
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,0.934,0.644,0.708,0.095,0,0.299
Montenegro,Central and Eastern Europe,88,5.161,1.078,0.742,0.635,0.151,0.127,0.172
Dominican Republic,Latin America and Caribbean,89,5.155,1.028,0.995,0.577,0.523,0.124,0.213
Morocco,Middle East and Northern Africa,90,5.151,0.841,0.386,0.595,0.256,0.084,0.041
Hungary,Central and Eastern Europe,91,5.145,1.241,0.932,0.676,0.198,0.045,0.099
Pakistan,Southern Asia,92,5.132,0.688,0.261,0.403,0.146,0.139,0.312
Lebanon,Middle East and Northern Africa,93,5.129,1.123,0.642,0.762,0.262,0.031,0.237
Portugal,Western Europe,94,5.123,1.276,0.944,0.794,0.447,0.015,0.117
Macedonia,Central and Eastern Europe,95,5.121,1.019,0.782,0.647,0.277,0.07,0.235
Vietnam,Southeastern Asia,96,5.061,0.74,0.791,0.662,0.56,0.116,0.251
Somaliland Region,Sub-Saharan Africa,97,5.057,0.256,0.759,0.331,0.391,0.368,0.515
Tunisia,Middle East and Northern Africa,98,5.045,0.977,0.432,0.596,0.236,0.082,0.039
Greece,Western Europe,99,5.033,1.249,0.755,0.8,0.058,0.041,0
Tajikistan,Central and Eastern Europe,100,4.996,0.488,0.756,0.531,0.434,0.135,0.26
Mongolia,Eastern Asia,101,4.907,0.989,1.09,0.555,0.36,0.033,0.345
Laos,Southeastern Asia,102,4.876,0.68,0.55,0.383,0.522,0.224,0.431
Nigeria,Sub-Saharan Africa,103,4.875,0.752,0.645,0.051,0.279,0.031,0.232
Honduras,Latin America and Caribbean,104,4.871,0.694,0.756,0.584,0.268,0.069,0.204
Iran,Middle East and Northern Africa,105,4.813,1.118,0.389,0.642,0.225,0.056,0.385
Zambia,Sub-Saharan Africa,106,4.795,0.612,0.638,0.236,0.427,0.115,0.179
Nepal,Southern Asia,107,4.793,0.446,0.697,0.501,0.37,0.07,0.382
Palestinian Territories,Middle East and Northern Africa,108,4.754,0.67,0.716,0.568,0.177,0.106,0.112
Albania,Central and Eastern Europe,109,4.655,0.955,0.502,0.73,0.319,0.053,0.168
Bangladesh,Southern Asia,110,4.643,0.542,0.247,0.53,0.398,0.126,0.191
Sierra Leone,Sub-Saharan Africa,111,4.635,0.365,0.628,0,0.307,0.082,0.239
Iraq,Middle East and Northern Africa,112,4.575,1.075,0.592,0.511,0.249,0.136,0.196
Namibia,Sub-Saharan Africa,113,4.574,0.933,0.704,0.347,0.486,0.104,0.078
Cameroon,Sub-Saharan Africa,114,4.513,0.525,0.625,0.127,0.427,0.061,0.227
Ethiopia,Sub-Saharan Africa,115,4.508,0.293,0.379,0.346,0.367,0.172,0.295
South Africa,Sub-Saharan Africa,116,4.459,1.024,0.961,0.186,0.425,0.084,0.137
Sri Lanka,Southern Asia,117,4.415,0.973,0.848,0.62,0.508,0.08,0.47
India,Southern Asia,118,4.404,0.74,0.292,0.451,0.403,0.087,0.25
Myanmar,Southeastern Asia,119,4.395,0.341,0.7,0.399,0.427,0.202,0.82
Egypt,Middle East and Northern Africa,120,4.362,0.954,0.498,0.521,0.188,0.104,0.127
Armenia,Central and Eastern Europe,121,4.36,0.861,0.625,0.641,0.14,0.036,0.078
Kenya,Sub-Saharan Africa,122,4.356,0.523,0.762,0.301,0.406,0.067,0.413
Ukraine,Central and Eastern Europe,123,4.324,0.873,1.014,0.586,0.129,0.018,0.204
Ghana,Sub-Saharan Africa,124,4.276,0.631,0.494,0.297,0.41,0.033,0.212
Congo (Kinshasa),Sub-Saharan Africa,125,4.272,0.057,0.807,0.188,0.156,0.061,0.255
Georgia,Central and Eastern Europe,126,4.252,0.838,0.192,0.64,0.325,0.319,0.068
Congo (Brazzaville),Sub-Saharan Africa,127,4.236,0.771,0.478,0.282,0.379,0.098,0.121
Senegal,Sub-Saharan Africa,128,4.219,0.443,0.774,0.405,0.311,0.117,0.191
Bulgaria,Central and Eastern Europe,129,4.217,1.113,0.925,0.678,0.212,0.006,0.128
Mauritania,Sub-Saharan Africa,130,4.201,0.614,0.841,0.286,0.127,0.18,0.227
Zimbabwe,Sub-Saharan Africa,131,4.193,0.35,0.715,0.16,0.254,0.086,0.185
Malawi,Sub-Saharan Africa,132,4.156,0.087,0.147,0.294,0.414,0.076,0.31
Sudan,Sub-Saharan Africa,133,4.139,0.631,0.819,0.298,0,0.1,0.181
Gabon,Sub-Saharan Africa,134,4.121,1.159,0.724,0.349,0.281,0.093,0.062
Mali,Sub-Saharan Africa,135,4.073,0.313,0.863,0.163,0.275,0.136,0.211
Haiti,Latin America and Caribbean,136,4.028,0.341,0.296,0.275,0.121,0.145,0.48
Botswana,Sub-Saharan Africa,137,3.974,1.094,0.892,0.348,0.441,0.108,0.124
Comoros,Sub-Saharan Africa,138,3.956,0.275,0.603,0.3,0.154,0.184,0.183
Ivory Coast,Sub-Saharan Africa,139,3.916,0.555,0.576,0.045,0.407,0.155,0.203
Cambodia,Southeastern Asia,140,3.907,0.556,0.538,0.425,0.589,0.081,0.403
Angola,Sub-Saharan Africa,141,3.866,0.847,0.664,0.05,0.006,0.084,0.121
Niger,Sub-Saharan Africa,142,3.856,0.133,0.605,0.262,0.38,0.172,0.21
South Sudan,Sub-Saharan Africa,143,3.832,0.394,0.185,0.158,0.197,0.13,0.259
Chad,Sub-Saharan Africa,144,3.763,0.422,0.632,0.038,0.128,0.05,0.187
Burkina Faso,Sub-Saharan Africa,145,3.739,0.32,0.631,0.213,0.334,0.125,0.244
Uganda,Sub-Saharan Africa,145,3.739,0.347,0.91,0.196,0.437,0.064,0.271
Yemen,Middle East and Northern Africa,147,3.724,0.579,0.475,0.31,0.229,0.059,0.098
Madagascar,Sub-Saharan Africa,148,3.695,0.28,0.461,0.371,0.137,0.075,0.22
Tanzania,Sub-Saharan Africa,149,3.666,0.472,0.776,0.357,0.318,0.051,0.315
Liberia,Sub-Saharan Africa,150,3.622,0.107,0.504,0.232,0.257,0.049,0.241
Guinea,Sub-Saharan Africa,151,3.607,0.224,0.311,0.188,0.31,0.119,0.299
Rwanda,Sub-Saharan Africa,152,3.515,0.328,0.616,0.319,0.543,0.505,0.236
Benin,Sub-Saharan Africa,153,3.484,0.395,0.104,0.21,0.397,0.067,0.202
Afghanistan,Southern Asia,154,3.36,0.382,0.11,0.173,0.164,0.071,0.313
Togo,Sub-Saharan Africa,155,3.303,0.281,0,0.248,0.347,0.116,0.175
Syria,Middle East and Northern Africa,156,3.069,0.747,0.149,0.63,0.069,0.172,0.484
Burundi,Sub-Saharan Africa,157,2.905,0.068,0.234,0.157,0.043,0.094,0.203
