Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Moldova,Central and Eastern Europe,52,5.889,0.594,1.015,0.618,0.328,0.016,0.21
Paraguay,Latin America and Caribbean,53,5.878,0.76,1.305,0.661,0.539,0.082,0.342
Kazakhstan,Central and Eastern Europe,54,5.855,1.123,1.122,0.644,0.516,0.085,0.118
Slovenia,Central and Eastern Europe,55,5.848,1.185,1.274,0.873,0.609,0.038,0.253
Lithuania,Central and Eastern Europe,56,5.833,1.147,1.257,0.731,0.213,0.01,0.026
Nicaragua,Latin America and Caribbean,57,5.828,0.593,1.142,0.743,0.555,0.193,0.278
Peru,Latin America and Caribbean,58,5.824,0.9,0.975,0.73,0.415,0.06,0.15
Belarus,Central and Eastern Europe,59,5.813,1.032,1.233,0.736,0.379,0.191,0.11
Poland,Central and Eastern Europe,60,5.791,1.126,1.279,0.779,0.531,0.042,0.168
Malaysia,Southeastern Asia,61,5.77,1.125,1.07,0.724,0.53,0.105,0.331
Croatia,Central and Eastern Europe,62,5.759,1.083,0.796,0.788,0.259,0.024,0.054
Libya,Middle East and Northern Africa,63,5.754,1.131,1.119,0.704,0.417,0.11,0.183
Russia,Central and Eastern Europe,64,5.716,1.138,1.236,0.669,0.367,0.03,0.002
Jamaica,Latin America and Caribbean,65,5.709,0.81,1.151,0.687,0.504,0.023,0.212
North Cyprus,Western Europe,66,5.695,1.208,1.07,0.924,0.49,0.143,0.262
Cyprus,Western Europe,67,5.689,1.208,0.893,0.924,0.407,0.061,0.306
Algeria,Middle East and Northern Africa,68,5.605,0.939,1.078,0.618,0.286,0.174,0.078
Kosovo,Central and Eastern Europe,69,5.589,0.801,0.812,0.631,0.247,0.047,0.283
Turkmenistan,Central and Eastern Europe,70,5.548,0.958,1.227,0.539,0.476,0.308,0.17
Mauritius,Sub-Saharan Africa,71,5.477,1.008,0.985,0.71,0.561,0.075,0.377
Hong Kong,Eastern Asia,72,5.474,1.386,1.058,1.013,0.596,0.371,0.395
Estonia,Central and Eastern Europe,73,5.429,1.152,1.228,0.774,0.449,0.152,0.087
Indonesia,Southeastern Asia,74,5.399,0.828,1.087,0.638,0.466,0,0.515
Vietnam,Southeastern Asia,75,5.36,0.632,0.912,0.747,0.594,0.104,0.169
Turkey,Middle East and Northern Africa,76,5.332,1.061,0.946,0.732,0.228,0.157,0.123
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.474,1.151,0.651,0.435,0.042,0.3
Nigeria,Sub-Saharan Africa,78,5.268,0.654,0.904,0.16,0.343,0.04,0.272
Bhutan,Southern Asia,79,5.253,0.77,1.104,0.574,0.532,0.154,0.48
Azerbaijan,Central and Eastern Europe,80,5.212,1.024,0.938,0.64,0.37,0.161,0.078
Pakistan,Southern Asia,81,5.194,0.595,0.414,0.515,0.121,0.105,0.337
Jordan,Middle East and Northern Africa,82,5.192,0.902,1.054,0.696,0.407,0.143,0.111
Montenegro,Central and Eastern Europe,82,5.192,0.974,0.906,0.725,0.183,0.143,0.161
China,Eastern Asia,84,5.14,0.89,0.947,0.817,0.517,0.028,0.082
Zambia,Sub-Saharan Africa,85,5.129,0.47,0.916,0.299,0.488,0.125,0.196
Romania,Central and Eastern Europe,86,5.124,1.043,0.886,0.769,0.351,0.006,0.137
Serbia,Central and Eastern Europe,87,5.123,0.921,1.01,0.748,0.201,0.026,0.192
Portugal,Western Europe,88,5.102,1.16,1.139,0.875,0.515,0.011,0.137
Latvia,Central and Eastern Europe,89,5.098,1.113,1.096,0.724,0.297,0.063,0.182
Philippines,Southeastern Asia,90,5.073,0.705,1.035,0.581,0.625,0.123,0.25
Somaliland region,Sub-Saharan Africa,91,5.057,0.188,0.952,0.439,0.466,0.399,0.503
Morocco,Middle East and Northern Africa,92,5.013,0.735,0.641,0.61,0.417,0.085,0.072
Macedonia,Central and Eastern Europe,93,5.007,0.919,1.002,0.735,0.335,0.053,0.224
Mozambique,Sub-Saharan Africa,94,4.971,0.083,1.026,0.091,0.34,0.156,0.223
Albania,Central and Eastern Europe,95,4.959,0.879,0.804,0.813,0.357,0.064,0.143
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.832,0.919,0.791,0.092,0.002,0.248
Lesotho,Sub-Saharan Africa,97,4.898,0.375,1.041,0.076,0.318,0.125,0.164
Dominican Republic,Latin America and Caribbean,98,4.885,0.895,1.172,0.668,0.577,0.142,0.217
Laos,Southeastern Asia,99,4.876,0.591,0.738,0.549,0.596,0.242,0.422
Mongolia,Eastern Asia,100,4.874,0.828,1.301,0.603,0.436,0.027,0.332
Swaziland,Sub-Saharan Africa,101,4.867,0.712,1.073,0.076,0.307,0.031,0.183
Greece,Western Europe,102,4.857,1.154,0.929,0.882,0.077,0.014,0
Lebanon,Middle East and Northern Africa,103,4.839,1.026,0.8,0.839,0.339,0.046,0.219
Hungary,Central and Eastern Europe,104,4.8,1.121,1.202,0.759,0.321,0.028,0.128
Honduras,Latin America and Caribbean,105,4.788,0.595,0.953,0.695,0.401,0.068,0.23
Tajikistan,Central and Eastern Europe,106,4.786,0.39,0.856,0.574,0.472,0.151,0.23
Tunisia,Middle East and Northern Africa,107,4.739,0.881,0.604,0.738,0.263,0.064,0.064
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.599,0.926,0.66,0.245,0.129,0.113
Bangladesh,Southern Asia,109,4.694,0.398,0.431,0.602,0.408,0.126,0.212
Iran,Middle East and Northern Africa,110,4.686,1.009,0.544,0.698,0.3,0.059,0.381
Ukraine,Central and Eastern Europe,111,4.681,0.799,1.203,0.674,0.251,0.03,0.153
Iraq,Middle East and Northern Africa,112,4.677,0.985,0.819,0.602,0,0.138,0.179
South Africa,Sub-Saharan Africa,113,4.642,0.92,1.185,0.277,0.332,0.089,0.12
Ghana,Sub-Saharan Africa,114,4.633,0.546,0.68,0.401,0.423,0.044,0.231
Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.033,0.335,0.259,0.081,0.19
Liberia,Sub-Saharan Africa,116,4.571,0.071,0.79,0.342,0.285,0.062,0.244
India,Southern Asia,117,4.565,0.645,0.382,0.515,0.398,0.085,0.265
Sudan,Sub-Saharan Africa,118,4.55,0.521,1.014,0.369,0.101,0.147,0.191
Haiti,Latin America and Caribbean,119,4.518,0.267,0.743,0.388,0.244,0.172,0.462
Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0,1.001,0.098,0.226,0.076,0.248
Nepal,Southern Asia,121,4.514,0.36,0.864,0.569,0.383,0.059,0.323
Ethiopia,Sub-Saharan Africa,122,4.512,0.191,0.604,0.441,0.435,0.15,0.243
Sierra Leone,Sub-Saharan Africa,123,4.507,0.33,0.956,0,0.408,0.088,0.215
Mauritania,Sub-Saharan Africa,124,4.436,0.454,0.869,0.359,0.242,0.175,0.219
Kenya,Sub-Saharan Africa,125,4.419,0.365,0.999,0.414,0.422,0.058,0.375
Djibouti,Sub-Saharan Africa,126,4.369,0.44,0.592,0.363,0.461,0.281,0.181
Armenia,Central and Eastern Europe,127,4.35,0.768,0.777,0.73,0.198,0.039,0.079
Botswana,Sub-Saharan Africa,128,4.332,0.994,1.105,0.048,0.495,0.125,0.105
Myanmar,Southeastern Asia,129,4.307,0.271,0.709,0.482,0.44,0.19,0.796
Georgia,Central and Eastern Europe,130,4.297,0.742,0.386,0.729,0.406,0.383,0.055
Malawi,Sub-Saharan Africa,131,4.292,0.016,0.411,0.226,0.431,0.07,0.331
Sri Lanka,Southern Asia,132,4.271,0.835,1.019,0.708,0.537,0.092,0.408
Cameroon,Sub-Saharan Africa,133,4.252,0.423,0.888,0.234,0.493,0.058,0.206
Bulgaria,Central and Eastern Europe,134,4.218,1.012,1.106,0.766,0.306,0.009,0.119
Egypt,Middle East and Northern Africa,135,4.194,0.882,0.747,0.617,0.173,0.063,0.113
Yemen,Middle East and Northern Africa,136,4.077,0.546,0.681,0.401,0.356,0.079,0.091
Angola,Sub-Saharan Africa,137,4.033,0.758,0.86,0.167,0.104,0.071,0.123
Mali,Sub-Saharan Africa,138,3.995,0.261,1.035,0.206,0.389,0.124,0.188
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.679,0.663,0.311,0.415,0.117,0.124
Comoros,Sub-Saharan Africa,140,3.956,0.239,0.793,0.363,0.229,0.199,0.174
Uganda,Sub-Saharan Africa,141,3.931,0.211,1.133,0.339,0.457,0.073,0.291
Senegal,Sub-Saharan Africa,142,3.904,0.365,0.976,0.435,0.368,0.107,0.208
Gabon,Sub-Saharan Africa,143,3.896,1.06,0.905,0.434,0.319,0.111,0.068
Niger,Sub-Saharan Africa,144,3.845,0.069,0.773,0.297,0.477,0.156,0.194
Cambodia,Southeastern Asia,145,3.819,0.46,0.627,0.611,0.662,0.072,0.404
Tanzania,Sub-Saharan Africa,146,3.781,0.285,1.003,0.382,0.329,0.057,0.344
Madagascar,Sub-Saharan Africa,147,3.681,0.208,0.668,0.467,0.192,0.081,0.213
Central African Republic,Sub-Saharan Africa,148,3.678,0.079,0,0.067,0.489,0.083,0.238
Chad,Sub-Saharan Africa,149,3.667,0.342,0.761,0.15,0.235,0.053,0.184
Guinea,Sub-Saharan Africa,150,3.656,0.174,0.465,0.24,0.377,0.121,0.287
Ivory Coast,Sub-Saharan Africa,151,3.655,0.465,0.771,0.152,0.469,0.179,0.202
Burkina Faso,Sub-Saharan Africa,152,3.587,0.258,0.852,0.271,0.395,0.128,0.217
Afghanistan,Southern Asia,153,3.575,0.32,0.303,0.303,0.234,0.097,0.365
Rwanda,Sub-Saharan Africa,154,3.465,0.222,0.774,0.429,0.592,0.552,0.226
Benin,Sub-Saharan Africa,155,3.34,0.287,0.354,0.319,0.485,0.08,0.183
Syria,Middle East and Northern Africa,156,3.006,0.663,0.475,0.722,0.157,0.189,0.472
Burundi,Sub-Saharan Africa,157,2.905,0.015,0.416,0.224,0.119,0.101,0.197
Togo,Sub-Saharan Africa,158,2.839,0.209,0.14,0.284,0.365,0.107,0.167
